"Region","Year","Abundance","Depth_Mean","Area_Threshold","COG_Lat","COG_Long","Dist_Mean","Trailing_E","Trailing_N","Leading_E","Leading_N"
"Canada",1997,1233244.14506704,-308.736434857164,150871919.3523,43.970359096451,-60.9579635296643,551.922583961972,-361.116871558553,4729.13016218116,588.883128441447,5129.13016218116
"USA",1998,61560.1687030921,-129.657855750498,11363753.4234397,43.2394092293815,-68.5704393620155,-76.7461674391189,-386.116871558553,4729.13016218116,763.883128441447,5079.13016218116
"Canada",1998,932337.437942265,-295.017233751311,179777287.078675,43.8957173502096,-61.5126050178178,514.515160342292,-386.116871558553,4729.13016218116,763.883128441447,5079.13016218116
"USA",1999,59064.1853702411,-127.916643594349,10773428.570274,43.270230448502,-68.5121682610347,-72.4405619524503,-436.116871558553,4729.13016218116,913.883128441447,5179.13016218116
"Canada",1999,928563.619464006,-281.387759012592,168497143.575699,43.9982744358793,-61.0938902418383,546.209137166958,-436.116871558553,4729.13016218116,913.883128441447,5179.13016218116
"USA",2000,43131.0872700402,-128.342543262015,11363753.4234397,43.2250734479172,-68.5588824679662,-75.1973897922356,-361.116871558553,4729.13016218116,863.883128441447,5179.13016218116
"Canada",2000,698308.765697444,-303.769487021979,186122367.799099,44.0026521884882,-61.103836102833,545.980286249393,-361.116871558553,4729.13016218116,863.883128441447,5179.13016218116
"USA",2001,63748.2145784919,-125.521878244785,8854872.7974855,43.4435139228866,-68.4949087893177,-76.139148320514,-361.116871558554,4729.13016218116,738.883128441447,5129.13016218116
"Canada",2001,937570.247166758,-339.814052540958,177662260.171867,44.0047382476618,-61.34644253613,532.472641520002,-361.116871558554,4729.13016218116,738.883128441447,5129.13016218116
"USA",2002,61352.7518851014,-126.810895512249,10183103.7171083,43.3524569482297,-68.4768464872568,-71.1473177210953,-461.116871558552,4729.13016218116,863.883128441447,5179.13016218116
"Canada",2002,939306.281160301,-303.153093145821,178367269.140803,43.9188578150787,-61.4420640338148,520.286774387077,-461.116871558552,4729.13016218116,863.883128441447,5179.13016218116
"USA",2003,85515.1637396934,-131.598634121344,8707291.58419408,43.5040799838477,-68.3535369100218,-66.0425684540734,-361.116871558554,4729.13016218116,563.883128441447,5129.13016218116
"Canada",2003,1042468.12175024,-283.080004824814,158627018.010596,43.8273407105922,-62.2697708006278,384.518413998283,-361.116871558554,4729.13016218116,563.883128441447,5129.13016218116
"USA",2004,78925.9042638211,-133.166606369615,8707291.58419408,43.4392496518492,-68.4921192074576,-75.7258232519959,-411.116871558553,4729.13016218116,913.883128441447,5229.13016218116
"Canada",2004,980767.800261636,-287.03861791056,200927556.146755,44.0242354993782,-61.5420182918024,435.233676192023,-411.116871558553,4729.13016218116,913.883128441447,5229.13016218116
"USA",2005,92563.4243614663,-131.032620042696,8412129.15761122,43.4600241898042,-68.4634312712856,-73.7297554298686,-386.116871558552,4754.13016218116,763.883128441447,5104.13016218116
"Canada",2005,1384654.47192683,-279.912317743036,165677107.699956,43.8396015961592,-62.0910734060144,397.838760567038,-386.116871558552,4754.13016218116,763.883128441447,5104.13016218116
"USA",2006,135794.709411356,-127.151134564618,7821804.30444552,43.5248963903996,-68.3471453606137,-66.3677646192904,-436.116871558553,4729.13016218116,488.883128441447,5154.13016218116
"Canada",2006,1593131.23621613,-327.618197109856,131836677.191028,43.8956975678581,-61.950169196695,406.986878065303,-436.116871558553,4729.13016218116,488.883128441447,5154.13016218116
"USA",2007,116696.300438693,-130.920075443325,9592778.86394263,43.3427910940662,-68.584547805819,-81.3228889675763,-461.116871558553,4729.13016218116,963.883128441447,5254.13016218116
"Canada",2007,1540143.23169804,-302.881567724237,195992493.364203,44.0330236454303,-61.4279120573461,443.927578163762,-461.116871558553,4729.13016218116,963.883128441447,5254.13016218116
"USA",2008,156359.062509182,-129.042757009179,8264547.9443198,43.4775169222767,-68.4769694991259,-75.3297913999575,-461.116871558552,4729.13016218116,888.883128441447,5229.13016218116
"Canada",2008,1854763.51757941,-263.502260752958,203042583.053563,44.0011853574892,-61.5968009584516,431.534320614167,-461.116871558552,4729.13016218116,888.883128441447,5229.13016218116
"USA",2009,154715.48809995,-134.703552914777,8854872.7974855,43.4710237521512,-68.3901569037546,-68.0425358671235,-361.116871558553,4729.13016218116,838.883128441447,5154.13016218116
"Canada",2009,2146147.76960404,-265.993846600463,201632565.115691,44.0194068447559,-61.6012428989894,430.733582781128,-361.116871558553,4729.13016218116,838.883128441447,5154.13016218116
"USA",2010,297832.440426886,-124.518328345433,6050829.74494842,43.6325395833519,-68.4402029535308,-76.851381559984,-436.116871558553,4729.13016218116,1013.88312844145,5129.13016218116
"Canada",2010,2375444.35227644,-311.258364454139,197402511.302075,44.0037386826232,-61.0361333281222,549.948669701597,-436.116871558553,4729.13016218116,1013.88312844145,5129.13016218116
"USA",2011,192384.625141278,-134.403360417189,9150035.22406835,43.350658333699,-68.59168178646,-82.249832277122,-411.116871558553,4729.13016218116,1013.88312844145,5179.13016218116
"Canada",2011,2389208.18995925,-271.386231229369,232652959.748874,44.1472089054835,-60.7945290651369,574.921770399818,-411.116871558553,4729.13016218116,1013.88312844145,5179.13016218116
"USA",2012,281377.589981218,-122.940088614497,7969385.51773695,43.4058661395829,-68.7475267958247,-96.2460089933069,-436.116871558553,4729.13016218116,1013.88312844145,5204.13016218116
"Canada",2012,2694277.93814934,-266.466822072499,227717896.966322,44.1125537402131,-60.7684020876301,573.790735827257,-436.116871558553,4729.13016218116,1013.88312844145,5204.13016218116
"USA",2013,213577.742395168,-127.666585900413,9740360.07723405,43.2943561299256,-68.6982539013523,-87.7012123684732,-411.116871558553,4729.13016218116,1013.88312844145,5179.13016218116
"Canada",2013,2694441.75289031,-256.936629018046,231242941.811002,44.2447799194937,-60.6297699884441,502.274921332293,-411.116871558553,4729.13016218116,1013.88312844145,5179.13016218116
"USA",2014,193674.798974614,-130.695486906403,8854872.7974855,43.3915704478108,-68.601705265464,-82.134651501131,-436.116871558553,4754.13016218116,938.883128441447,5204.13016218116
"Canada",2014,2792779.54022683,-246.565435472584,219257789.33909,44.2302471117325,-60.7274379263184,494.834956518944,-436.116871558553,4754.13016218116,938.883128441447,5204.13016218116
"USA",2015,152960.248345508,-131.257138793473,11216172.2101483,43.1003464236163,-68.7917503118835,-88.7250559580283,-336.116871558553,4729.13016218116,913.883128441447,5229.13016218116
"Canada",2015,2905612.77084563,-254.321445146286,237588022.531426,44.3070128046591,-60.317355042606,525.899056935061,-336.116871558553,4729.13016218116,913.883128441447,5229.13016218116
"USA",2016,175943.93666814,-128.80314808178,9887941.29052548,43.2211567467369,-68.6693585911545,-83.5195473200792,-361.116871558553,4754.13016218116,988.883128441447,5154.13016218116
"Canada",2016,2932265.53436766,-255.850813202714,224897861.090578,44.3214279037735,-59.8489713453539,644.14413699127,-361.116871558553,4754.13016218116,988.883128441447,5154.13016218116
"USA",2017,146866.130060893,-131.535730089626,11806497.063314,43.0853496644185,-68.7355198019026,-83.882055922359,-336.116871558553,4729.13016218116,1063.88312844145,5204.13016218116
"Canada",2017,3062436.73267536,-266.501011072535,247458148.096529,44.3072715419305,-59.4599997589566,667.358532978284,-336.116871558553,4729.13016218116,1063.88312844145,5204.13016218116
"USA",2018,161904.957941849,-123.566360178646,9740360.07723405,43.3427371355486,-68.6099396260747,-83.128372925365,-336.116871558553,4729.13016218116,988.883128441447,5204.13016218116
"Canada",2018,3605228.7718402,-259.217301683763,260148309.537377,44.4315834732097,-59.3700019206525,681.482725283283,-336.116871558553,4729.13016218116,988.883128441447,5204.13016218116
"USA",2019,133042.050772698,-130.620463601226,12101659.4898968,43.0265384638903,-68.7427881146789,-83.0099969539901,-411.116871558553,4754.13016218116,1013.88312844145,5229.13016218116
"Canada",2019,3073306.36668449,-313.222933062062,242523085.313977,44.4022910002267,-59.0520287524629,699.633788545082,-411.116871558553,4754.13016218116,1013.88312844145,5229.13016218116
"USA",2020,146647.607502621,-126.469157831283,10478266.1436912,43.2299692966772,-68.6520938875209,-82.5968672732373,-386.116871558553,4729.13016218116,1113.88312844145,5354.13016218116
"Canada",2020,2681296.52515104,-264.221099522004,303858865.611408,44.4834831206684,-59.2366492319449,693.378941210866,-386.116871558553,4729.13016218116,1113.88312844145,5354.13016218116
"USA",2021,145822.76390224,-128.385363587132,11363753.4234397,43.1185733697905,-68.7241980617959,-84.0384020284365,-386.116871558552,4729.13016218116,913.883128441447,5229.13016218116
"Canada",2021,3658486.3105657,-274.666856552112,235472995.624618,44.4021290299238,-59.8594201354266,649.268147341389,-386.116871558552,4729.13016218116,913.883128441447,5229.13016218116
"USA",2022,147069.830185427,-127.333740057078,11511334.6367311,43.0920830398084,-68.7097971099658,-82.0686504764295,-361.116871558553,4754.13016218116,1038.88312844145,5204.13016218116
"Canada",2022,3503256.54336908,-264.460084674511,274248488.916097,44.4779886721464,-59.3332343687148,686.963991213687,-361.116871558553,4754.13016218116,1038.88312844145,5204.13016218116
"USA",2023,171357.356148793,-126.14791218498,10773428.570274,43.2278058215023,-68.6222070066626,-80.3083709763167,-436.116871558553,4729.13016218116,1063.88312844145,5204.13016218116
"Canada",2023,3141991.31457124,-264.662888621714,264378363.350993,44.3471839680453,-59.5483274130274,664.542692993906,-436.116871558553,4729.13016218116,1063.88312844145,5204.13016218116
